,pm25,pm10,no2,co,asthma,bronchitis,cardiovascular
pm25,1.0,0.9981136914062395,0.9650868167843842,0.9706071746290336,0.9968568177894035,0.997825190344746,0.9961287970495715
pm10,0.9981136914062395,1.0,0.958221179601182,0.9643596140453037,0.9929230736112958,0.9961315602759362,0.9945303024057461
no2,0.9650868167843842,0.958221179601182,1.0,0.970850491030119,0.9656650969857136,0.977036326551215,0.9738368985620125
co,0.9706071746290336,0.9643596140453037,0.970850491030119,1.0,0.9767339231536658,0.9773211350370734,0.9776789503580355
asthma,0.9968568177894035,0.9929230736112958,0.9656650969857136,0.9767339231536658,1.0,0.9959377164665123,0.995872096318969
bronchitis,0.997825190344746,0.9961315602759362,0.977036326551215,0.9773211350370734,0.9959377164665123,1.0,0.9973637222472631
cardiovascular,0.9961287970495715,0.9945303024057461,0.9738368985620125,0.9776789503580355,0.995872096318969,0.9973637222472631,1.0
